Serie;rodet;Serie;Diametre Rodet;Bandes;V (rpm);n;Potencia;Fluid
C2.1;C;Circular;0.03;3;1200;20;52.25;Aigua
C2.2;C;Circular;0.03;3;100;1,666666667;8.25;Oli
C2.2;C;Circular;0.03;3;200;3,333333333;10.5;Oli
C2.2;C;Circular;0.03;3;300;5;12.75;Oli
C2.2;C;Circular;0.03;3;400;6,666666667;17.5;Oli
C2.2;C;Circular;0.03;3;500;8,333333333;22;Oli
C2.2;C;Circular;0.03;3;600;10;33.5;Oli
C2.2;C;Circular;0.03;3;700;11,66666667;44.5;Oli
C2.2;C;Circular;0.03;3;1100;18,33333333;58.5;Oli
C2.2;C;Circular;0.03;3;1200;20;68.5;Oli
C2.2;C;Circular;0.03;3;100;1,666666667;8.75;Oli
C2.2;C;Circular;0.03;3;200;3,333333333;11;Oli
C2.2;C;Circular;0.03;3;300;5;13.25;Oli
C2.2;C;Circular;0.03;3;400;6,666666667;18;Oli
C2.2;C;Circular;0.03;3;500;8,333333333;22.5;Oli
C2.2;C;Circular;0.03;3;600;10;34;Oli
C2.2;C;Circular;0.03;3;700;11,66666667;45.5;Oli
C2.2;C;Circular;0.03;3;1100;18,33333333;59.5;Oli
C2.2;C;Circular;0.03;3;1200;20;69.5;Oli
D1.4;D;Disc;0.078;0;100;1,666666667;10.5;Aigua
D1.4;D;Disc;0.078;0;200;3,333333333;12.25;Aigua
D1.4;D;Disc;0.078;0;300;5;13.75;Aigua
D1.4;D;Disc;0.078;0;400;6,666666667;16;Aigua
D1.4;D;Disc;0.078;0;500;8,333333333;18;Aigua
D1.4;D;Disc;0.078;0;600;10;20.5;Aigua
D1.4;D;Disc;0.078;0;700;11,66666667;22.75;Aigua
D1.4;D;Disc;0.078;0;1100;18,33333333;31;Aigua
D1.4;D;Disc;0.078;0;1200;20;33.5;Aigua
D1.4;D;Disc;0.078;0;100;1,666666667;11;Aigua
D1.4;D;Disc;0.078;0;200;3,333333333;12.75;Aigua
D1.4;D;Disc;0.078;0;300;5;14.25;Aigua
D1.4;D;Disc;0.078;0;400;6,666666667;16.5;Aigua
D1.4;D;Disc;0.078;0;500;8,333333333;18.5;Aigua
D1.4;D;Disc;0.078;0;600;10;21;Aigua
D1.4;D;Disc;0.078;0;700;11,66666667;23.25;Aigua
D1.4;D;Disc;0.078;0;1100;18,33333333;32;Aigua
D1.4;D;Disc;0.078;0;1200;20;34.5;Aigua
D1.5;D;Disc;0.078;0;100;1,666666667;10.5;Oli
D1.5;D;Disc;0.078;0;200;3,333333333;12.5;Oli
D1.5;D;Disc;0.078;0;300;5;14.5;Oli
D1.5;D;Disc;0.078;0;400;6,666666667;17.25;Oli
D1.5;D;Disc;0.078;0;500;8,333333333;19.5;Oli
D1.5;D;Disc;0.078;0;600;10;22.5;Oli
D1.5;D;Disc;0.078;0;700;11,66666667;25.5;Oli
D1.5;D;Disc;0.078;0;1100;18,33333333;36;Oli
D1.5;D;Disc;0.078;0;1200;20;40.5;Oli
D1.5;D;Disc;0.078;0;100;1,666666667;11;Oli
D1.5;D;Disc;0.078;0;200;3,333333333;13.25;Oli
D1.5;D;Disc;0.078;0;300;5;15.5;Oli
D1.5;D;Disc;0.078;0;400;6,666666667;18;Oli
D1.5;D;Disc;0.078;0;500;8,333333333;20.5;Oli
D1.5;D;Disc;0.078;0;600;10;23.75;Oli
D1.5;D;Disc;0.078;0;700;11,66666667;26.5;Oli
D1.5;D;Disc;0.078;0;1100;18,33333333;37;Oli
D1.5;D;Disc;0.078;0;1200;20;39.5;Oli
D2.4;D;Disc;0.078;3;100;1,666666667;10.5;Aigua
D2.4;D;Disc;0.078;3;200;3,333333333;12.5;Aigua
D2.4;D;Disc;0.078;3;300;5;14.5;Aigua
D2.4;D;Disc;0.078;3;400;6,666666667;17.25;Aigua
D2.4;D;Disc;0.078;3;500;8,333333333;19.5;Aigua
D2.4;D;Disc;0.078;3;600;10;22.5;Aigua
D2.4;D;Disc;0.078;3;700;11,66666667;25.5;Aigua
D2.4;D;Disc;0.078;3;1100;18,33333333;36;Aigua
D2.4;D;Disc;0.078;3;1200;20;40.5;Aigua
D2.4;D;Disc;0.078;3;100;1,666666667;11;Aigua
D2.4;D;Disc;0.078;3;200;3,333333333;13.25;Aigua
D2.4;D;Disc;0.078;3;300;5;15.5;Aigua
D2.4;D;Disc;0.078;3;400;6,666666667;18;Aigua
D2.4;D;Disc;0.078;3;500;8,333333333;20.5;Aigua
D2.4;D;Disc;0.078;3;600;10;23.75;Aigua
D2.4;D;Disc;0.078;3;700;11,66666667;26.5;Aigua
D2.4;D;Disc;0.078;3;1100;18,33333333;37;Aigua
D2.4;D;Disc;0.078;3;1200;20;39.5;Aigua
D2.5;D;Disc;0.078;3;100;1,666666667;9.5;Oli
D2.5;D;Disc;0.078;3;200;3,333333333;11.75;Oli
D2.5;D;Disc;0.078;3;300;5;13.5;Oli
D2.5;D;Disc;0.078;3;400;6,666666667;16.5;Oli
D2.5;D;Disc;0.078;3;500;8,333333333;18.75;Oli
D2.5;D;Disc;0.078;3;600;10;21.5;Oli
D2.5;D;Disc;0.078;3;700;11,66666667;24.5;Oli
D2.5;D;Disc;0.078;3;1100;18,33333333;29.5;Oli
D2.5;D;Disc;0.078;3;1200;20;38;Oli
D2.5;D;Disc;0.078;3;100;1,666666667;10;Oli
D2.5;D;Disc;0.078;3;200;3,333333333;12;Oli
D2.5;D;Disc;0.078;3;300;5;14;Oli
D2.5;D;Disc;0.078;3;400;6,666666667;16.25;Oli
D2.5;D;Disc;0.078;3;500;8,333333333;19;Oli
D2.5;D;Disc;0.078;3;600;10;21.75;Oli
D2.5;D;Disc;0.078;3;700;11,66666667;25;Oli
D2.5;D;Disc;0.078;3;1100;18,33333333;30;Oli
D2.5;D;Disc;0.078;3;1200;20;38.5;Oli
